citation_id,doc_location,code_reference,last_verified_utc,status
CIT-001,docs/symbols.md:5,src/controllers/sta_smc.py:90,2025-09-14T05:05:05.879805,ok
CIT-002,docs/symbols.md:6,src/controllers/hybrid_adaptive_sta_smc.py:513,2025-09-14T05:05:05.879805,ok
CIT-003,docs/symbols.md:7,src/controllers/hybrid_adaptive_sta_smc.py:514,2025-09-14T05:05:05.879805,ok
CIT-004,docs/symbols.md:8,src/controllers/classic_smc.py:335,2025-09-14T05:05:05.879805,ok
CIT-005,docs/symbols.md:9,src/controllers/classic_smc.py:335,2025-09-14T05:05:05.879805,ok
CIT-006,docs/symbols.md:10,src/controllers/classic_smc.py:335,2025-09-14T05:05:05.879805,ok
CIT-007,docs/symbols.md:11,src/controllers/classic_smc.py:335,2025-09-14T05:05:05.879805,ok
CIT-008,docs/symbols.md:12,config.yaml:191,2025-09-14T05:05:05.879805,ok
CIT-009,docs/symbols.md:13,config.yaml:192,2025-09-14T05:05:05.879805,ok
CIT-010,docs/symbols.md:14,config.yaml:193,2025-09-14T05:05:05.879805,ok
CIT-011,docs/symbols.md:15,config.yaml:194,2025-09-14T05:05:05.879805,ok
CIT-012,docs/symbols.md:16,config.yaml:195,2025-09-14T05:05:05.879805,ok
CIT-013,docs/symbols.md:17,config.yaml:200,2025-09-14T05:05:05.879805,ok
CIT-014,docs/symbols.md:18,config.yaml:196,2025-09-14T05:05:05.879805,ok
CIT-015,docs/symbols.md:19,config.yaml:197,2025-09-14T05:05:05.879805,ok
CIT-016,docs/symbols.md:20,config.yaml:198,2025-09-14T05:05:05.879805,ok
CIT-017,docs/symbols.md:21,config.yaml:199,2025-09-14T05:05:05.879805,ok
CIT-018,docs/symbols.md:22,config.yaml:201,2025-09-14T05:05:05.879805,ok
CIT-019,docs/symbols.md:23,config.yaml:202,2025-09-14T05:05:05.879805,ok
CIT-020,docs/symbols.md:24,config.yaml:203,2025-09-14T05:05:05.879805,ok
CIT-021,docs/symbols.md:25,src/controllers/classic_smc.py:150,2025-09-14T05:05:05.879805,ok
CIT-022,docs/symbols.md:26,src/controllers/classic_smc.py:150,2025-09-14T05:05:05.879805,ok
CIT-023,docs/symbols.md:27,src/controllers/classic_smc.py:150,2025-09-14T05:05:05.879805,ok
CIT-024,docs/symbols.md:28,src/controllers/classic_smc.py:150,2025-09-14T05:05:05.879805,ok
CIT-025,docs/symbols.md:29,src/controllers/sta_smc.py:270,2025-09-14T05:05:05.879805,ok
CIT-026,docs/symbols.md:30,src/controllers/hybrid_adaptive_sta_smc.py:170,2025-09-14T05:05:05.879805,ok
CIT-027,docs/symbols.md:31,src/controllers/adaptive_smc.py:201,2025-09-14T05:05:05.879805,ok
CIT-028,docs/symbols.md:32,src/controllers/adaptive_smc.py:152,2025-09-14T05:05:05.879805,ok
CIT-029,docs/symbols.md:33,src/controllers/classic_smc.py:345,2025-09-14T05:05:05.879805,ok
CIT-030,docs/symbols.md:34,src/controllers/sta_smc.py:84,2025-09-14T05:05:05.879805,ok
CIT-031,docs/symbols.md:35,src/controllers/classic_smc.py:173,2025-09-14T05:05:05.879805,ok
